Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,-0.525106
0,0,0,0.992739,0.00151925,0,-0.478731
0,0,0,0.985523,0.00298981,0,-0.499208
0,0,0,0.978353,0.00442412,0,-0.495615
0,0,0,0.971231,0.0058254,0,-0.502283
0,0,0,0.964156,0.00719657,0,-0.508413
0,0,0,0.957129,0.00853886,0,-0.515409
0,0,0,0.950149,0.00985441,0,-0.522453
0,0,0,0.943216,0.0111454,0,-0.529296
0,0,0,0.936331,0.0124123,0,-0.535808
0,0,0,0.929492,0.0136555,0,-0.541807
0,0,0,0.9227,0.0148758,0,-0.547274
0,0,0,0.915955,0.0160741,0,-0.552134
0,0,0,0.909257,0.0172512,0,-0.556418
0,0,0,0.902604,0.0184074,0,-0.560129
0,0,0,0.895997,0.0195429,0,-0.5633
0,0,0,0.889435,0.0206585,0,-0.565962
0,0,0,0.882919,0.0217549,0,-0.568173
0,0,0,0.876448,0.0228325,0,-0.569984
0,0,0,0.870022,0.0238914,0,-0.571438
0,0,0,0.86364,0.0249318,0,-0.572583
0,0,0,0.857303,0.0259541,0,-0.57345
0,0,0,0.851009,0.0269588,0,-0.574111
0,0,0,0.844759,0.0279463,0,-0.574567
0,0,0,0.838553,0.0289166,0,-0.574906
0,0,0,0.832389,0.0298701,0,-0.575092
0,0,0,0.826269,0.0308068,0,-0.575218
0,0,0,0.82019,0.0317268,0,-0.575243
0,0,0,0.814155,0.0326299,0,-0.575232
0,0,0,0.80816,0.0335165,0,-0.575168
0,0,0,0.802208,0.0343865,0,-0.575087
0,0,0,0.796297,0.0352404,0,-0.574992
0,0,0,0.790427,0.0360781,0,-0.574901
0,0,0,0.784597,0.0368999,0,-0.574817
0,0,0,0.778808,0.0377056,0,-0.57475
0,0,0,0.77306,0.0384955,0,-0.5747
0,0,0,0.767351,0.0392698,0,-0.574677
0,0,0,0.761682,0.0400286,0,-0.574679
0,0,0,0.756052,0.0407722,0,-0.574714
0,0,0,0.750462,0.0415009,0,-0.57478
0,0,0,0.74491,0.0422147,0,-0.574878
0,0,0,0.739397,0.0429137,0,-0.575006
0,0,0,0.733922,0.0435979,0,-0.57516
0,0,0,0.728485,0.0442674,0,-0.575343
0,0,0,0.723086,0.0449225,0,-0.575544
0,0,0,0.717725,0.0455634,0,-0.575779
0,0,0,0.712401,0.0461902,0,-0.57602
0,0,0,0.707114,0.0468031,0,-0.576304
0,0,0,0.701864,0.0474024,0,-0.576572
0,0,0,0.696651,0.0479881,0,-0.576897
0,0,0,0.691474,0.0485606,0,-0.577185
0,0,0,0.686333,0.0491198,0,-0.577531
0,0,0,0.681227,0.0496661,0,-0.577841
0,0,0,0.676158,0.0501994,0,-0.578186
0,0,0,0.671124,0.0507198,0,-0.578514
0,0,0,0.666124,0.0512276,0,-0.578859
0,0,0,0.66116,0.0517227,0,-0.579199
0,0,0,0.656231,0.0522054,0,-0.579553
0,0,0,0.651335,0.0526758,0,-0.57991
0,0,0,0.646474,0.053134,0,-0.580287
0,0,0,0.641647,0.0535801,0,-0.580673
0,0,0,0.636854,0.0540142,0,-0.581084
0,0,0,0.632094,0.0544364,0,-0.581509
0,0,0,0.627367,0.0548466,0,-0.581959
0,0,0,0.622674,0.055245,0,-0.582427
0,0,0,0.618013,0.0556315,0,-0.582915
0,0,0,0.613385,0.0560062,0,-0.583421
0,0,0,0.608789,0.0563692,0,-0.583947
0,0,0,0.604225,0.0567205,0,-0.584489
0,0,0,0.599693,0.0570602,0,-0.585052
0,0,0,0.595193,0.0573884,0,-0.585629
0,0,0,0.590724,0.057705,0,-0.586231
0,0,0,0.586286,0.0580102,0,-0.586842
0,0,0,0.58188,0.058304,0,-0.587485
0,0,0,0.577504,0.0585865,0,-0.588122
0,0,0,0.573159,0.0588577,0,-0.5888
0,0,0,0.568844,0.0591177,0,-0.589452
0,0,0,0.564559,0.0593668,0,-0.590141
0,0,0,0.560305,0.0596051,0,-0.5908
0,0,0,0.55608,0.0598328,0,-0.591472
0,0,0,0.551885,0.0600501,0,-0.592126
0,0,0,0.547719,0.0602572,0,-0.592776
0,0,0,0.543582,0.0604544,0,-0.593409
0,0,0,0.539475,0.0606418,0,-0.594031
0,0,0,0.535396,0.0608197,0,-0.594637
0,0,0,0.531346,0.0609883,0,-0.595232
0,0,0,0.527324,0.0611479,0,-0.59581
0,0,0,0.523331,0.0612986,0,-0.596378
0,0,0,0.519366,0.0614408,0,-0.596932
0,0,0,0.515429,0.0615746,0,-0.59748
0,0,0,0.511519,0.0617002,0,-0.598019
0,0,0,0.507637,0.0618179,0,-0.59856
0,0,0,0.503782,0.0619278,0,-0.599103
0,0,0,0.499954,0.0620302,0,-0.599658
0,0,0,0.496154,0.0621252,0,-0.600233
0,0,0,0.49238,0.0622132,0,-0.600828
0,0,0,0.488632,0.0622942,0,-0.601465
0,0,0,0.484912,0.0623685,0,-0.602118
0,0,0,0.481217,0.0624362,0,-0.602841
0,0,0,0.477548,0.0624977,0,-0.603553
0,0,0,0.473905,0.062553,0,-0.604359
0,0,0,0.470288,0.0626024,0,-0.60512
0,0,0,0.466697,0.0626459,0,-0.605973
0,0,0,0.46313,0.0626839,0,-0.606776
0,0,0,0.459589,0.0627164,0,-0.607639
0,0,0,0.456073,0.0627435,0,-0.60848
0,0,0,0.452581,0.0627656,0,-0.609356
0,0,0,0.449115,0.0627826,0,-0.610229
0,0,0,0.445672,0.0627948,0,-0.611127
0,0,0,0.442254,0.0628023,0,-0.612027
0,0,0,0.43886,0.0628052,0,-0.612941
0,0,0,0.43549,0.0628037,0,-0.613855
