"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.709194328,        -15.381984,       -15.6517804,      -3.992841096,      -16.86909477,       1.461477813,       1.485690224,      0.1472193809,                 0,                 0,                 0,     0.06740797112,       1.478549064,      0.2069822507,                 0,     0.09909157271,   0.0005508791212
           1,      -4.910366516,      -4.325477535,      -4.898125621,      -4.157557545,      -10.50883924,       4.286736921,       1.110032209,      0.2339986598,                 0,                 0,                 0,      0.0878944963,       1.099698576,      0.2785496695,                 0,      0.2108034866,   0.0006087041769
           2,       -5.20162625,      -4.547072613,      -5.224606817,      -4.445309291,      -10.50848871,       5.781118031,      0.8511810266,      0.2227400425,                 0,                 0,                 0,     0.08298213886,       0.841511535,      0.2568668977,                 0,      0.2616835144,   0.0006087041769
           3,      -5.117819491,      -4.691773771,      -4.977195972,      -4.363325533,      -10.50826119,       5.212615389,      0.6593152377,      0.2109952482,                 0,                 0,                 0,     0.07895767335,      0.6502750487,      0.2373982698,                 0,      0.3200217986,   0.0006087041769
           4,      -4.872019813,      -4.628979937,      -4.705326008,      -4.129138638,      -10.50822711,       4.595513805,      0.5057468064,      0.2137440095,                 0,                 0,                 0,     0.08065205585,      0.4967206188,      0.2339550399,                 0,      0.4226304681,   0.0006087041769
           5,      -4.661815785,      -4.474525883,       -4.50454161,      -3.927945382,      -10.50829183,       3.919659442,       0.387514693,      0.2260803779,                 0,                 0,                 0,     0.08640083806,      0.3780873518,       0.241515898,                 0,      0.5834111117,   0.0006087041769
           6,      -4.494726664,      -4.350913167,      -4.363607704,      -3.767206662,      -10.50839046,       3.224433985,      0.2981889892,      0.2454240653,                 0,                 0,                 0,     0.09447758456,       0.288054566,      0.2572434881,                 0,       0.823048718,   0.0006087041769
           7,      -4.378894455,      -4.280871608,      -4.289192824,      -3.652380592,      -10.50849279,       2.707831793,       0.233980996,      0.2703647683,                 0,                 0,                 0,      0.1036634542,      0.2228934852,      0.2795759444,                 0,       1.155498835,   0.0005508791212
           8,       -4.31602943,      -4.223941922,      -4.270627645,      -3.583200186,      -10.50858517,       2.757680488,      0.1912484682,      0.2995545028,                 0,                 0,                 0,      0.1132182496,       0.179019156,      0.3070195735,                 0,       1.566310599,   0.0005508791212
           9,      -4.297130436,      -4.141805651,      -4.292091468,      -3.549864327,      -10.50866048,       2.817870919,      0.1649213118,      0.3315827419,                 0,                 0,                 0,      0.1226502346,      0.1514224576,      0.3379606384,                 0,       2.010551204,   0.0005508791212
          10,      -4.310955871,       -4.06203929,      -4.329734089,      -3.544822765,        -10.508715,       2.814938542,      0.1489723281,      0.3650058253,                 0,                 0,                 0,      0.1315694292,      0.1341392775,      0.3707137187,                 0,       2.450158563,   0.0005508791212
          11,      -4.336570505,      -4.019057579,      -4.353514276,      -3.559817825,      -10.50874813,       2.783107592,      0.1377986132,       0.398443423,                 0,                 0,                 0,      0.1395967008,      0.1216269007,      0.4036737745,                 0,       2.891490805,   0.0006087041769
          12,      -4.338452982,      -4.022415995,      -4.343158917,      -3.574752092,       -10.5087631,       2.716314086,      0.1275649471,      0.4302775674,                 0,                 0,                 0,      0.1462885644,      0.1101184378,      0.4350695696,                 0,       3.373007846,   0.0006087041769
          13,      -4.306402182,      -4.064774422,      -4.300516336,      -3.566472013,      -10.50876538,       2.605919198,       0.116558512,      0.4595624521,                 0,                 0,                 0,      0.1514203853,     0.09794058484,      0.4638870293,                 0,       3.942761831,   0.0006087041769
          14,      -4.270641486,      -4.118449483,      -4.253258129,       -3.53876686,      -10.50875837,       2.462347839,      0.1046480644,      0.4866503905,                 0,                 0,                 0,      0.1552279394,     0.08494800452,      0.4904728907,                 0,       4.650352525,   0.0006087041769
