Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,-0.66289
0.998654,0.000194975,0,-0.620384
0.997309,0.000390634,0,-0.627467
0.995963,0.000585561,0,-0.630752
0.994617,0.000779617,0,-0.628649
0.993272,0.000973484,0,-0.627322
0.991926,0.00116744,0,-0.625944
0.99058,0.00136111,0,-0.624621
0.989234,0.0015543,0,-0.62341
0.987888,0.001747,0,-0.622231
0.986542,0.00193928,0,-0.621146
0.985196,0.00213123,0,-0.620121
0.98385,0.00232296,0,-0.619194
0.982504,0.0025145,0,-0.618326
0.981157,0.00270573,0,-0.617544
0.979811,0.00289654,0,-0.616823
0.978465,0.00308689,0,-0.616169
0.977119,0.00327687,0,-0.615575
0.975772,0.00346661,0,-0.615042
0.974426,0.0036562,0,-0.614564
0.973079,0.00384561,0,-0.614138
0.971733,0.00403475,0,-0.61376
0.970386,0.00422352,0,-0.613436
0.96904,0.00441184,0,-0.613148
0.967693,0.00459975,0,-0.612919
0.966346,0.00478729,0,-0.612708
0.965,0.0049745,0,-0.612566
0.963653,0.00516142,0,-0.612433
0.962306,0.00534807,0,-0.612364
0.960959,0.00553444,0,-0.612306
0.959612,0.00572054,0,-0.612306
0.958265,0.00590635,0,-0.612312
0.956918,0.00609189,0,-0.612376
0.955571,0.00627712,0,-0.612446
0.954224,0.00646204,0,-0.612557
0.952877,0.00664662,0,-0.612694
0.95153,0.00683087,0,-0.612849
0.950183,0.00701476,0,-0.613037
0.948835,0.00719833,0,-0.613245
0.947488,0.00738157,0,-0.613474
0.946141,0.0075645,0,-0.613724
0.944793,0.00774713,0,-0.614004
0.943446,0.00792947,0,-0.614287
0.942099,0.00811152,0,-0.614609
0.940751,0.0082933,0,-0.61493
0.939404,0.0084748,0,-0.615282
0.938056,0.00865603,0,-0.615639
0.936708,0.00883701,0,-0.616018
0.935361,0.0090177,0,-0.616405
0.934013,0.0091981,0,-0.616813
0.932665,0.00937819,0,-0.617225
0.931318,0.00955795,0,-0.61766
0.92997,0.00973737,0,-0.618093
0.928622,0.00991644,0,-0.61855
0.927274,0.0100952,0,-0.619007
0.925926,0.0102736,0,-0.619481
0.924578,0.0104517,0,-0.619954
0.92323,0.0106295,0,-0.620444
0.921882,0.0108071,0,-0.620932
0.920534,0.0109844,0,-0.621436
0.919186,0.0111615,0,-0.621942
0.917838,0.0113383,0,-0.622456
0.916489,0.0115148,0,-0.622975
0.915141,0.0116911,0,-0.6235
0.913793,0.011867,0,-0.624027
0.912445,0.0120427,0,-0.62456
0.911096,0.0122181,0,-0.625093
0.909748,0.0123932,0,-0.62563
0.9084,0.012568,0,-0.62617
0.907051,0.0127425,0,-0.626716
0.905703,0.0129168,0,-0.627259
0.904354,0.0130908,0,-0.627811
0.903006,0.0132646,0,-0.628356
0.901657,0.0134381,0,-0.62891
0.900308,0.0136113,0,-0.629462
0.89896,0.0137842,0,-0.630012
0.897611,0.0139567,0,-0.630569
0.896262,0.014129,0,-0.631115
0.894913,0.014301,0,-0.63167
0.893565,0.0144726,0,-0.632215
0.892216,0.0146438,0,-0.632764
0.890867,0.0148148,0,-0.633306
0.889518,0.0149855,0,-0.633851
0.888169,0.0151559,0,-0.634388
0.88682,0.0153261,0,-0.634928
0.885471,0.0154961,0,-0.635462
0.884122,0.0156658,0,-0.635996
0.882773,0.0158353,0,-0.636526
0.881424,0.0160046,0,-0.637056
0.880075,0.0161736,0,-0.637579
0.878725,0.0163424,0,-0.638105
0.877376,0.0165109,0,-0.638619
