Points_0,Points_1,Points_2,Pressure_Coefficient
0.917838,-0.0113383,0,-0.388036
0.919186,-0.0111615,0,-0.389452
0.920534,-0.0109844,0,-0.390952
0.921882,-0.0108071,0,-0.392441
0.92323,-0.0106295,0,-0.393925
0.924578,-0.0104517,0,-0.395532
0.925926,-0.0102736,0,-0.397107
0.927274,-0.0100952,0,-0.398681
0.928622,-0.00991644,0,-0.400339
0.92997,-0.00973737,0,-0.401922
0.931318,-0.00955795,0,-0.403525
0.932665,-0.00937819,0,-0.405117
0.934013,-0.0091981,0,-0.406694
0.935361,-0.0090177,0,-0.408322
0.936708,-0.00883701,0,-0.409934
0.938056,-0.00865603,0,-0.411566
0.939404,-0.0084748,0,-0.413296
0.940751,-0.0082933,0,-0.415047
0.942099,-0.00811152,0,-0.416824
0.943446,-0.00792947,0,-0.418648
0.944793,-0.00774713,0,-0.420522
0.946141,-0.0075645,0,-0.422444
0.947488,-0.00738157,0,-0.424338
0.948835,-0.00719833,0,-0.42631
0.950183,-0.00701476,0,-0.428286
0.95153,-0.00683087,0,-0.430291
0.952877,-0.00664662,0,-0.432309
0.954224,-0.00646204,0,-0.434342
0.955571,-0.00627712,0,-0.436435
0.956918,-0.00609189,0,-0.438566
0.958265,-0.00590635,0,-0.440707
0.959612,-0.00572054,0,-0.442944
0.960959,-0.00553444,0,-0.445191
0.962306,-0.00534807,0,-0.447541
0.963653,-0.00516142,0,-0.449999
0.965,-0.0049745,0,-0.452527
0.966346,-0.00478729,0,-0.455159
0.967693,-0.00459975,0,-0.457829
0.96904,-0.00441184,0,-0.460564
0.970386,-0.00422352,0,-0.463337
0.971733,-0.00403475,0,-0.466156
0.973079,-0.00384561,0,-0.468936
0.974426,-0.0036562,0,-0.471829
0.975772,-0.00346661,0,-0.474987
0.977119,-0.00327687,0,-0.478366
0.978465,-0.00308689,0,-0.481952
0.979811,-0.00289654,0,-0.485702
0.981157,-0.00270573,0,-0.489565
0.982504,-0.0025145,0,-0.493422
0.98385,-0.00232296,0,-0.497486
0.985196,-0.00213123,0,-0.501921
0.986542,-0.00193928,0,-0.506804
0.987888,-0.001747,0,-0.511995
0.989234,-0.0015543,0,-0.51759
0.99058,-0.00136111,0,-0.523337
0.991926,-0.00116744,0,-0.529913
0.993272,-0.000973484,0,-0.536644
0.994617,-0.000779617,0,-0.545946
0.995963,-0.000585561,0,-0.555531
0.997309,-0.000390634,0,-0.573367
0.998654,-0.000194975,0,-0.574109
